,Region,Site,Filename,Start.freq,End.freq,Min.freq,Max.freq,Delta.freq,Duration,Extrema,sqrtStart.freq,sqrtEnd.freq,sqrtDelta.freq,logDuration,logExt,sqrtMin,sqrtMax
214,Bay,3,rr.30.180710.031110,10965.8,18973.3,10965.8,20472.2,9506.4,0.164,3,104.7177158,137.7436024,97.50076923,-1.807888851,1.098612289,104.7177158,143.0810959
215,Bay,3,rr.31.ch01.180625.161133.40.,9230.2,6626.8,6626.8,17671.6,11044.8,0.429,3,96.07392987,81.40515954,105.0942434,-0.84629836,1.098612289,81.40515954,132.9345704
216,Bay,3,rr.36.ch01.180625.161823.87.,4260.1,4772.9,4260.1,6114,1853.9,0.462,5,65.26944155,69.08617807,43.05693905,-0.772190388,1.609437912,65.26944155,78.19207121
217,Bay,3,rr.59.180729.004210,10729.2,6666.3,6666.3,10729.2,4062.9,0.663,2,103.5818517,81.6474127,63.7408817,-0.410980289,0.693147181,81.6474127,103.5818517
218,Bay,3,rr.61.180729.005740,7731.3,11281.4,7731.3,11912.5,4181.2,0.666,3,87.9278113,106.2139351,64.66219916,-0.406465608,1.098612289,87.9278113,109.1443998
219,Bay,3,rr02.ch01.180623.013615.49.,12307,4891.2,4891.2,12859.2,7968,1.271,5,110.936919,69.93711461,89.26365442,0.239803992,1.609437912,69.93711461,113.3984127
220,Bay,4,Pot.01.190602.083606.85,7106.4,11319.1,6255.3,11319.1,5063.8,0.574,3,84.29946619,106.391259,71.16038224,-0.555125883,1.098612289,79.09045454,106.391259
221,Bay,4,Pot.01.190602.203504.70,8187.3,5097,5097,11799.3,6702.3,0.592,5,90.48370019,71.39327699,81.867576,-0.524248644,1.609437912,71.39327699,108.6245829
222,Bay,4,Pot.01.190602.205503.53,4936.5,3291,3291,9632.1,6341.1,0.406,4,70.26023057,57.36723804,79.6310241,-0.901402119,1.386294361,57.36723804,98.14326263
223,Bay,4,Pot.01.190602.210601.73,9431.4,13043.5,8388,19224.1,10836.1,1.289,6,97.11539528,114.2081433,104.0965898,0.253866724,1.791759469,91.58602513,138.6510007
224,Bay,4,Pot.01.190611.170501.98,10033.4,15933.1,6260.9,15933.1,9672.2,0.446,3,100.1668608,126.2263839,98.34734363,-0.807436327,1.098612289,79.12584913,126.2263839
225,Bay,4,Pot.01.190613.190644.13,8749.2,6983.3,6983.3,8749.2,1765.9,0.399,2,93.53715839,83.56614147,42.02261296,-0.918793862,0.693147181,83.56614147,93.53715839
226,Bay,4,Pot.01.190613.191653.13,6100.3,3531.8,3090.3,8026.8,4936.5,0.972,8,78.10441729,59.42894917,70.26023057,-0.028399475,2.079441542,55.59046681,89.59241039
227,Bay,4,Pot.01.190613.193529.46,5297.7,5217.4,3852.8,5297.7,1444.9,0.315,3,72.78530071,72.23157204,38.01184026,-1.15518264,1.098612289,62.07092717,72.78530071
