Index,WhisNum,SiteNum,Filename,Region,Startfreq,Endfreq,Minfreq,Maxfreq,Deltafreq,Duration,Extrema,SPLrms
64,1,1,T1C.02.ch01.180712.174956.05.(2).ctr',Coastal,9225.8,11419.4,6193.5,12967.7,6774.2,1.142,5,130.7366237
64,2,1,T1C.03.ch01.180821.063042.02..ctr',Coastal,9483.9,12258.1,6387.1,12258.1,5871,0.928,6,130.7654242
65,1,1,T1C.01.ch01.180716.180009.36..ctr',Coastal,8771,4064.5,4064.5,8771,4706.5,0.669,2,130.7309516
65,2,2,A5C.02.ch01.180814.200401.49..ctr',Coastal,7419.4,4645.2,4645.2,7419.4,2774.2,0.744,2,118.8775369
65,3,1,T1C.01.ch01.180921.183117.83..ctr',Coastal,10000,4451.6,4451.6,10000,5548.4,0.847,2,133.5175478
66,1,1,T1C.11.ch01.180725.061542.92..ctr',Coastal,7677.4,5096.8,4516.1,12709.7,8193.6,1.109,9,130.7809183
66,2,1,T1C.04.ch01.180819.020237.85..ctr',Coastal,9290.3,4967.7,4774.2,13161.3,8387.1,1.267,9,130.7738268
67,1,1,T1C.06.ch01.180731.100512.51..ctr',Coastal,5612.9,4645.2,3612.9,10838.7,7225.8,1.256,6,130.7739742
67,2,1,T1C.06.ch01.180807.133652.35..ctr',Coastal,6580.6,4580.6,4193.5,11483.9,7290.4,1.499,6,130.8807819
68,1,1,T1C.10.ch01.180809.231906.49..ctr,Coastal,9419.4,3354.8,3354.8,13806.5,10451.7,1.216,7,130.7826106
68,2,1,T1C.13.ch01.180823.223010.20..ctr,Coastal,5548.4,8000,4451.6,11935.5,7483.9,0.796,7,131.8250086
69,1,1,T1C.14.ch01.180810.074844.08..ctr',Coastal,4838.7,12322.6,4838.7,12322.6,7483.9,0.661,2,130.7948532
69,2,1,T1C.01.ch01.180907.150220.77..ctr',Coastal,4580.6,12000,4580.6,12000,7419.4,0.723,2,130.7652421
70,1,1,T1C.08.ch01.180812.181012.45..ctr,Coastal,11419.4,5096.8,5096.8,11419.4,6322.6,0.634,2,130.7494674
70,2,1,T1C.07.ch01.180822.111420.08..ctr,Coastal,10193.5,4709.7,4709.7,10193.5,5483.8,0.935,2,130.7883697
71,1,1,T1C.15.ch01.180818.123633.99..ctr',Coastal,7806.5,10903.2,6258.1,10903.2,4645.1,0.992,5,130.7487858
71,2,1,T1C.04.ch01.181008.074700.45..ctr',Coastal,6258.1,11419.4,6258.1,13354.8,7096.7,0.729,4,130.7450865
72,1,1,T1C.02.ch01.180831.000157.53..ctr',Coastal,6838.7,4387.1,4129,12580.6,8451.6,0.855,6,131.292784
72,2,1,T1C.09.ch01.181003.083835.37..ctr',Coastal,11548.4,4645.2,3935.5,12258.1,8322.6,0.776,5,131.2295005
73,1,1,T1C.01.ch01.180903.210042.24..ctr',Coastal,5167,14824.9,5167,14824.9,9657.9,0.769,2,133.9738356
73,2,1,T1C.01.ch01.181009.110609.51..ctr',Coastal,4973.8,12893.4,4973.8,12893.4,7919.6,0.759,2,130.7035639
74,1,1,T1C.02.ch01.180904.233004.26..ctr',Coastal,9464.8,15452.7,6905.4,15452.7,8547.3,0.239,3,131.4724235
74,2,1,T1C.04.ch01.180907.151531.49..ctr',Coastal,10382.3,14004,7533.2,14004,6470.8,0.305,3,130.762505
75,1,1,T1C.01.ch01.180920.084520.63..ctr,Coastal,14148.9,5311.9,5311.9,14148.9,8837,0.683,2,130.7210559
75,2,1,T1C.02.ch01.180923.130017.11..ctr,Coastal,15307.8,4780.7,4780.7,15307.8,10527.1,0.756,2,130.7521126
76,1,1,T1C.09.ch01.180921.093259.85..ctr,Coastal,11831,10378.9,4829,11831,7002,0.263,3,130.8394079
76,2,1,T1C.01.ch01.180922.124730.41..ctr,Coastal,13231.4,10720.3,7678.1,13231.4,5553.3,0.232,3,130.7646067
77,1,1,T1C.05.ch01.180923.083142.23..ctr,Coastal,6084.5,12845.1,6084.5,12845.1,6760.6,0.951,2,130.7481272
77,2,1,T1C.02.ch01.180929.004726.31..ctr,Coastal,4829,12555.3,4839,12700.2,7861.2,1.129,3,130.8212345
78,1,4,Pot.01.190619.152512.56.ctr,Bay,9223.3,18398.4,7822.9,18688.1,10865.2,0.583,6,98.11370866
78,2,4,Pot.03.190630.174639.23.ctr,Bay,9416.5,20957.7,7388.3,20957.7,13569.4,0.384,5,104.6108132
79,1,4,Pot.01.190807.075549.72.ctr,Bay,13086.5,3670,3670,13086.5,9416.5,0.804,2,113.3316072
79,2,4,Pot02.190814.015629.23.ctr,Bay,12458.8,4201.2,4201.2,12458.8,8257.6,0.842,2,121.8636461
80,1,4,Pot.01.190805.021618.94.ctr,Bay,7146.9,16901.4,7146.9,16901.4,9754.5,0.365,2,114.9699001
80,2,4,Pot.02.190807.004531.34.ctr,Bay,6470.8,19895.4,6470.8,19895.4,13424.6,0.383,2,113.9206381
81,1,4,Pot.01.190602.084504.24.ctr,Bay,4346.1,4442.7,4346.1,4442.7,96.6,1.052,2,101.3824906
81,2,4,Pot.02.190803.150541.02.ctr,Bay,5553.3,5456.7,5022.1,5553.3,531.2,0.607,3,113.3555336
81,3,4,Pot.02.190916.054016.76.ctr,Bay,4658.5,4614.1,2614.1,4791.5,2177.4,0.623,3,107.9263061
82,1,4,Pot.04.190703.233523.56.ctr,Bay,10672,10382.3,7146.9,10672,3525.1,0.294,3,104.4917497
82,2,4,Pot.01.190911.045103.74.ctr,Bay,8074.6,8695.8,4658.5,8695.8,4037.3,0.367,3,104.9532176
83,1,4,Pot.01.190618.131651.12.ctr,Bay,9416.5,4056.3,4056.3,11106.6,7050.3,1.126,5,101.8391749
