New whistle match cat,First sighting site,First sighting date,First sighting contour name,Second sighting site,Second sighting date,Second sighting contour name,Third sighting site,Third sighting date,Third sighting contour,Fourth sighting site,Fourth sighting date,Fourth sighting contour,Fifth sighting site,Fifth sighting date,Fifth sighting contour,Sixth sighting site,Sixth sighting date,SIxth sighting contour,Seventh sighting site,Seventh sighting date,Seventh sighting contour
45,T1C,6/16/17,20170614.112512.47..sel.144.144wav.ctr,T1C,6/27/17,20170618.053837.22..sel.390.390wav.ctr,T1C,6/28/17,20170618.115621.21..sel429.429wav.ctr,T1C,9/11/18,'T1C.01.ch01.180911.101602.14..ctr',,,,,,,,,
46,T1C,6/16/17,20170614.163836.14..sel.217.217wav.ctr',T1C,7/17/17,sel.306.T1C.2017.07.ctr',T1C,8/6/17,sel.129_T1C_201708.ctr',A5C,11/19/18,A5C.03.ch01.181119.000116.48..ctr',Pot,8/14/19,Pot02.190814.015629.23.ctr',,,,,,
47,T1C,6/16/17,20170614.151456.53..sel.157.157wav.ctr',Pot,6/9/19,Pot.02.190619.155518.10.ctr',,,,,,,,,,,,,,,
48,T1C ,6/16/17,20170614.152254.84..sel.163.163wav.ctr,T3C,7/26/18,T3C.02.180702.191001.19.ctr,,,,,,,,,,,,,,,
49,T1C,6/17/17,20170614.171809.05..sel.220.220wav.ctr',Pot,6/11/19,Pot.02.190611.170505.73.ctr',,,,,,,,,,,,,,,
50,T1C,6/18/17,20170615.005034.97..sel.229.229wav.ctr,T1C,6/20/17,20170615.204158.19..sel.290.290wav.ctr,,,,,,,,,,,,,,,
51,T1C,6/18/17,20170615.024421.36..sel.236.236wav.ctr,T1C,6/27/17,'20170618.074958.79..sel.411.411wav.ctr',,,,,,,,,,,,,,,
52,T1C,6/18/17,20170615.051744.39..sel.244.244wav.ctr',T1C,7/16/17,sel.287.T1C.2017.07.ctr',T1C,7/23/17,sel.466.T1C.2017.07.ctr',,,,,,,,,,,,
53,T1C,6/18/17,20170615.025327.15..sel.238.238wav.ctr,T1C,8/14/18,'T1C.06.ch01.180814.094103.52..ctr',A5C,12/5/18,A5C.01.ch01.181205.101504.28..ctr',,,,,,,,,,,,
54,T1C,6/19/17,20170615.110324.51..sel.256.256wav.ctr,T1C,6/21/17,20170616.042056.08..sel.317.317wav.ctr,T1C,6/23/17,20170616.190518.40..sel.344.344wav.ctr,,,,,,,,,,,,
55,T1C,6/19/17,20170615.161900.07..sel.278wav.wav,T1C,6/21/17,20170616.041245.64..sel.316wav.wav,,,,,,,,,,,,,,,
56,T1C,6/19/17,20170615.123819.73..sel.266.266wav.ctr,T1C,7/5/17,'sel.110.T1C.2017.07.ctr',,,,,,,,,,,,,,,
57,T1C,6/19/17,20170615.104509.55..sel.253.253wav.ctr',T1C,7/12/17,sel.224.T1C.2017.07.ctr',,,,,,,,,,,,,,,
58,T1C,6/19/17,20170615.123159.00..sel.264.264wav.ctr,T1C,8/12/17,'sel.144_T1C_201708.ctr',T1C,7/15/18,'T1C.08.ch01.180715.231743.66..ctr',,,,,,,,,,,,
59,T1C,6/20/17,20170615.221725.14..sel.308.308wav.ctr,T1C,6/21/17,20170616.044133.58..sel.322.322wav.ctr,,,,,,,,,,,,,,,
60,T1C,6/20/17,20170615.205443.23..sel.300.300wav.ctr,T1C,6/26/17,20170617.224326.01..sel.368.368wav.ctr,,,,,,,,,,,,,,,
61,T1C,6/20/17,20170615.204836.78..sel.295.295wav.ctr,T1C,6/28/17,20170618.160352.04..sel.440.440wav.ctr,,,,,,,,,,,,,,,
62,T1C,6/20/17,20170615.185105.18..sel.279.279wav.ctr',T1C,7/18/17,sel.364.T1C.2017.07.ctr',T1C,8/1/17,sel.08_T1C_201708.ctr',,,,,,,,,,,,
63,T1C,6/20/17,20170615.204814.80..sel.294.294wav.ctr,T1C,9/23/18,T1C.11.ch01.180923.083240.60..ctr',A5C,10/10/18,A5C.01.ch01.181010.234823.11..ctr',,,,,,,,,,,,
64,T1C,6/20/17,20170615.205447.77..sel.301.301wav.ctr',T1C,9/28/18,T1C.05.ch01.180928.174914.90..ctr',A5C,11/1/18,A5C.01.ch01.181101.203344.46..ctr',A5C,11/27/18,A5C.03.ch01.181127.181627.96..ctr',,,,,,,,,
65,T1C,6/22/17,20170616.120546.75..sel.333.333wav.ctr,T1C,6/28/17,20170618.114240.36..sel.424.424wav.ctr,,,,,,,,,,,,,,,
66,A5C,6/22/17,20170622_221811.ctr',T1C,6/24/17,20170617.080955.69..sel.361.361wav.ctr',,,,,,,,,,,,,,,
67,T1C,6/24/17,20170617.061111.26..sel.353.353wav.ctr',T1C,6/28/17,20170618.120005.98..sel.432.432wav.ctr',T1C,7/5/17,sel.10_T1C_201707.ctr,,,,,,,,,,,,
68,T1C,6/24/17,20170617.070035.52..sel.358.358wav.ctr,T1C,6/28/17,20170618.123214.56..sel.437.437wav.ctr,,,,,,,,,,,,,,,
69,T1C,6/24/17,20170617.034209.52..sel.352.352wav.ctr',T1C,7/13/17,sel.249.T1C.2017.07.ctr',A5C,11/19/18,A5C.04.ch01.181119.000133.58..ctr',,,,,,,,,,,,
70,T1C,6/27/17,20170618.063021.13..sel.403.403wav.ctr,T1C,6/28/17,20170618.113736.02..sel.421.421wav.ctr,,,,,,,,,,,,,,,
71,T1C,6/27/17,20170618.053415.74..sel.389.389wav.ctr,T1C,7/27/18,'T1C.10.ch01.180727.051110.50..ctr',,,,,,,,,,,,,,,
72,T1C,6/28/17,20170618.115736.70..sel.431.431wav.ctr,T1C,7/21/18,'T1C.04.ch01.180721.080122.83..ctr',,,,,,,,,,,,,,,
73,A5C,6/29/17,20170629_001435.ctr',T1C,7/5/17,sel.13.T1C.2017.07.ctr',,,,,,,,,,,,,,,
74,T1C,7/1/17,sel.66.T1C.2017.07.ctr,T1C,8/11/18,'T1C.08.ch01.180811.193730.80..ctr',,,,,,,,,,,,,,,
75,T1C,7/1/17,sel.41.T1C.2017.07.ctr,T1C,9/21/18,'T1C.04.ch01.180921.093044.31..ctr',,,,,,,,,,,,,,,
76,T1C,7/1/17,sel.64.T1C.2017.07.ctr',Pot,8/6/19,Pot.01.190806.050623.25.ctr',,,,,,,,,,,,,,,
77,T1C,7/2/17,sel.88.T1C.2017.07.ctr,T1C,7/15/17,'sel.280.T1C.2017.07.ctr',,,,,,,,,,,,,,,
78,A5C,7/2/17,20170702_210806.ctr,T1C,8/8/18,'T1C.01.ch01.180808.120647.03..ctr',,,,,,,,,,,,,,,
79,T1C,7/5/17,sel.37.T1C.2017.07.ctr,T1C,8/1/17,sel.02_T1C_201708.ctr',,,,,,,,,,,,,,,
80,T1C,7/5/17,sel.18.T1C.2017.07.ctr,T1C,8/11/18,'T1C.01.ch01.180811.180350.90..ctr',T1C,8/21/18,'T1C.04.ch01.180821.063127.14..ctr',,,,,,,,,,,,
81,T1C,7/5/17,sel.117.T1C.2017.07.ctr,T1C,9/7/18,'T1C.03.ch01.180907.151529.41..ctr',,,,,,,,,,,,,,,
82,T1C,7/5/17,sel.24.T1C.2017.07.ctr,A5C,10/12/18,A5C.01.ch01.181012.023356.49..ctr',,,,,,,,,,,,,,,
83,T1C,7/11/17,sel.214.T1C.2017.07.ctr,T1C,7/13/17,sel.458.T1C.2017.07.ctr',A5C,11/19/18,A5C.06.ch01.181119.000349.00..ctr',,,,,,,,,,,,
84,T1C,7/11/17,sel.207.T1C.2017.07.ctr,T1C,7/18/17,sel.353.T1C.2017.07.ctr',,,,,,,,,,,,,,,
