site,whistle,date,SiteIndex
2,A5C.08.ch01.181202.124434.12..ctr',12/2/18,370
2,A5C.09.ch01.181202.091828.02..ctr',12/2/18,371
2,A5C.16.ch01.181202.091955.03..ctr',12/2/18,372
2,A5C.03.ch01.181203.034640.51..ctr',12/3/18,375
2,A5C.04.ch01.181203.032003.68..ctr',12/3/18,376
2,A5C.05.ch01.181203.032431.75..ctr',12/3/18,377
2,A5C.06.ch01.181203.032010.32..ctr',12/3/18,378
2,A5C.01.164626,12/3/318,380
2,A5C.02.164652,12/3/318,381
2,A5C.03.164704,12/3/318,382
2,A5C.04.164700,12/3/318,383
3,1.021504,6/23/18,1
3,2.013615,6/23/18,2
3,1.152047,6/25/18,3
3,3.15214,6/25/18,4
3,10.152302,6/25/18,5
3,11.15231,6/25/18,6
3,15.152413,6/25/18,7
3,31.161133,6/25/18,10
3,36.161823,6/25/18,11
3,8.085614,7/2/18,12
3,10.002806,7/9/18,13
3,11.044138,7/9/18,14
3,17.051113,7/9/18,15
3,20.051325,7/9/18,16
3,21.052612,7/9/18,17
3,29.025623,7/10/18,18
3,30.03111,7/10/18,19
3,59.00421,7/29/18,21
3,61.00574,7/29/18,22
4,Pot.01.190602.083606.85.ctr',6/2/19,1
4,Pot.01.190602.084504.24.ctr',6/2/19,2
4,Pot.01.190602.090529.72.ctr',6/2/19,3
4,Pot.01.190602.202500.98.ctr',6/2/19,4
4,Pot.01.190602.203504.70.ctr',6/2/19,5
4,Pot.01.190602.204521.40.ctr',6/2/19,6
4,Pot.01.190602.205503.53.ctr',6/2/19,7
4,Pot.01.190602.210601.73.ctr',6/2/19,8
4,Pot.01.190602.212524.78.ctr',6/2/19,9
4,Pot.01.190611.115548.02.ctr',6/11/19,10
4,Pot.01.190611.121500.04.ctr',6/11/19,11
4,Pot.01.190611.155609.43.ctr',6/11/19,12
4,Pot.01.190611.170501.98.ctr',6/11/19,13
4,Pot.01.190611.182504.58.ctr',6/11/19,14
4,Pot.01.190611.184514.69.ctr',6/11/19,15
4,Pot.01.190611.185657.04.ctr',6/11/19,16
4,Pot.01.190611.215509.58.ctr',6/11/19,17
4,Pot.01.190611.233518.07.ctr',6/11/19,18
4,Pot.01.190613.190644.13.ctr',6/13/19,19
4,Pot.01.190613.191653.13.ctr',6/13/19,20
4,Pot.01.190613.193529.46.ctr',6/13/19,21
4,Pot.01.190613.195551.88.ctr',6/13/19,22
4,Pot.01.190613.214652.58.ctr',6/13/19,23
4,Pot.01.190613.220611.58.ctr',6/13/19,24
4,Pot.01.190613.222526.28.ctr',6/13/19,25
4,Pot.01.190618.123525.01.ctr',6/18/19,26
4,Pot.01.190618.125548.74.ctr',6/18/19,27
4,Pot.01.190618.130503.25.ctr',6/18/19,28
4,Pot.01.190618.131651.12.ctr',6/18/19,29
4,Pot.01.190619.103526.67.ctr',6/19/19,30
4,Pot.01.190619.104536.88.ctr',6/19/19,31
4,Pot.01.190619.150504.83.ctr',6/19/19,32
4,Pot.01.190619.155512.39.ctr',6/19/19,33
4,Pot.01.190623.233631.93.ctr',6/23/19,34
4,Pot.01.190626.120522.97.ctr',6/26/19,35
4,Pot.01.190626.121646.53.ctr',6/26/19,36
4,Pot.01.190626.122625.00.ctr',6/26/19,37
4,Pot.01.190626.132556.98.ctr',6/26/19,38
4,Pot.01.190626.164528.11.ctr',6/26/19,39
4,Pot.01.190626.171556.80.ctr',6/26/19,40
4,Pot.01.190626.172632.44.ctr',6/26/19,41
4,Pot.01.190627.080551.48.ctr',6/27/19,42
4,Pot.01.190627.084639.52.ctr',6/27/19,43
4,Pot.01.190627.085611.91.ctr',6/27/19,44
4,Pot.01.190628.124504.11.ctr',6/28/19,45
4,Pot.01.190628.130545.10.ctr',6/28/19,46
4,Pot.01.190628.152605.32.ctr',6/28/19,47
4,Pot.01.190628.164538.76.ctr',6/28/19,48
4,Pot.01.190628.171623.80.ctr',6/28/19,49
4,Pot.01.190629.025507.71.ctr',6/29/19,50
4,Pot.01.190629.031557.73.ctr',6/29/19,51
4,Pot.01.190629.033539.24.ctr',6/29/19,52
4,Pot.01.190629.072643.31.ctr',6/29/19,53
4,Pot.01.190629.174540.76.ctr',6/29/19,54
4,Pot.01.190629.180512.71.ctr',6/29/19,55
4,Pot.01.190629.182534.42.ctr',6/29/19,56
4,Pot.01.190629.184631.98.ctr',6/29/19,57
4,Pot.01.190630.174509.31.ctr',6/30/19,58
4,Pot.02.190602.084520.95.ctr',6/2/19,59
4,Pot.02.190602.090556.80.ctr',6/2/19,60
4,Pot.02.190602.202529.50.ctr',6/2/19,61
4,Pot.02.190602.205500.45.ctr',6/2/19,62
4,Pot.02.190602.210625.07.ctr',6/2/19,63
4,Pot.02.190611.000600.66.ctr',6/11/19,64
4,Pot.02.190611.121648.46.ctr',6/11/19,65
4,Pot.02.190611.170505.73.ctr',6/11/19,66
4,Pot.02.190611.182518.20.ctr',6/11/19,67
4,Pot.02.190613.193608.53.ctr',6/13/19,68
4,Pot.02.190618.123619.71.ctr',6/18/19,69
4,Pot.02.190618.130610.64.ctr',6/18/19,70
4,Pot.02.190619.152518.06.ctr',6/19/19,71
4,Pot.02.190619.153637.27.ctr',6/19/19,72
4,Pot.02.190619.155518.10.ctr',6/19/19,73
4,Pot.02.190623.233641.68.ctr',6/23/19,74
4,Pot.02.190626.120549.18.ctr',6/26/19,75
4,Pot.02.190626.164614.97.ctr',6/26/19,76
4,Pot.02.190627.082635.58.ctr',6/27/19,77
4,Pot.02.190628.122653.68.ctr',6/28/19,78
4,Pot.02.190628.124547.65.ctr',6/28/19,79
4,Pot.02.190628.125537.05.ctr',6/28/19,80
4,Pot.02.190628.131634.39.ctr',6/28/19,81
4,Pot.02.190628.152625.55.ctr',6/28/19,82
4,Pot.02.190628.153609.11.ctr',6/28/19,83
4,Pot.02.190629.031601.14.ctr',6/29/19,84
4,Pot.02.190629.033545.15.ctr',6/29/19,85
4,Pot.02.190630.174633.51.ctr',6/30/19,86
4,Pot.03.190602.084523.36.ctr',6/2/19,87
4,Pot.03.190602.090611.86.ctr',6/2/19,88
4,Pot.03.190602.202550.07.ctr',6/2/19,89
4,Pot.03.190602.205537.23.ctr',6/2/19,90
4,Pot.03.190611.182520.38.ctr',6/11/19,91
4,Pot.03.190613.193627.36.ctr',6/13/19,92
4,Pot.03.190619.152600.59.ctr',6/19/19,93
4,Pot.03.190619.153639.31.ctr',6/19/19,94
4,Pot.03.190626.132620.25.ctr',6/26/19,95
4,Pot.03.190628.125657.17.ctr',6/28/19,96
4,Pot.03.190628.171625.42.ctr',6/28/19,97
4,Pot.03.190629.031603.00.ctr',6/29/19,98
4,Pot.03.190630.174639.23.ctr',6/30/19,99
4,Pot.04.190611.182522.42.ctr',6/11/19,100
4,Pot.04.190619.153636.33.ctr',6/19/19,101
4,Pot.04.190628.130556.07.ctr',6/28/19,102
4,Pot.04.190629.031609.23.ctr',6/29/19,103
4,Pot.05.190602.210643.17.ctr',6/2/19,104
4,Pot.05.190623.233635.68.ctr',6/23/19,105
4,Pot.05.190628.130608.23.ctr',6/28/19,106
4,Pot.05.190629.031609.87.ctr',6/29/19,107
4,Pot.06.190611.182613.99.ctr',6/11/19,108
4,Pot.06.190629.031616.82.ctr',6/29/19,109
4,Pot.07.190628.130633.68.ctr',6/28/19,110
4,Pot.07.190629.031620.66.ctr',6/29/19,111
4,Pot.08.190628.130652.48.ctr',6/28/19,112
4,Pot.08.190629.031625.72.ctr',6/29/19,113
4,Pot.01.190701.184521.76.ctr',7/1/19,114
4,Pot.01.190702.164506.85.ctr',7/2/19,115
4,Pot.01.190703.190654.49.ctr',7/3/19,116
4,Pot.01.190703.235606.06.ctr',7/3/19,117
4,Pot.01.190704.000531.51.ctr',7/4/19,118
4,Pot.01.190704.001516.42.ctr',7/4/19,119
4,Pot.01.190704.003635.79.ctr',7/4/19,120
4,Pot.02.190703.235606.47.ctr',7/3/19,121
4,Pot.02.190704.000540.49.ctr',7/4/19,122
4,Pot.02.190704.001536.88.ctr',7/4/19,123
4,Pot.02.190704.002603.66.ctr',7/4/19,124
4,Pot.03.190703.233511.65.ctr',7/3/19,125
4,Pot.03.190704.000557.80.ctr',7/4/19,126
4,Pot.03.190704.001653.70.ctr',7/4/19,127
4,Pot.03.190704.002622.62.ctr',7/4/19,128
4,Pot.04.190702.164652.61.ctr',7/2/19,129
4,Pot.04.190704.002625.42.ctr',7/4/19,130
4,Pot.05.190703.233621.02.ctr',7/3/19,131
4,Pot.01.190803.114642.46.ctr',8/3/19,132
4,Pot.01.190803.115511.65.ctr',8/3/19,133
4,Pot.01.190803.122636.30.ctr',8/3/19,134
4,Pot.01.190803.124516.61.ctr',8/3/19,135
4,Pot.01.190803.132623.01.ctr',8/3/19,136
4,Pot.01.190803.135512.67.ctr',8/3/19,137
4,Pot.01.190803.140536.61.ctr',8/3/19,138
4,Pot.01.190803.150536.81.ctr',8/3/19,139
4,Pot.01.190803.154613.27.ctr',8/3/19,140
4,Pot.01.190803.160532.42.ctr',8/3/19,141
4,Pot.01.190803.162513.83.ctr',8/3/19,142
4,Pot.01.190803.164550.16.ctr',8/3/19,143
4,Pot.01.190803.221612.35.ctr',8/3/19,144
4,Pot.01.190803.225501.00.ctr',8/3/19,145
4,Pot.01.190803.231605.41.ctr',8/3/19,146
4,Pot.01.190803.232541.56.ctr',8/3/19,147
4,Pot.01.190803.234555.01.ctr',8/3/19,148
4,Pot.01.190804.020518.99.ctr',8/4/19,149
4,Pot.01.190804.030542.56.ctr',8/4/19,150
4,Pot.01.190804.041603.74.ctr',8/4/19,151
4,Pot.01.190805.022649.20.ctr',8/5/19,152
4,Pot.01.190805.023533.73.ctr',8/5/19,153
4,Pot.01.190805.025539.86.ctr',8/5/19,154
4,Pot.01.190805.033557.61.ctr',8/5/19,155
4,Pot.01.190805.034526.93.ctr',8/5/19,156
4,Pot.01.190805.035506.21.ctr',8/5/19,157
4,Pot.01.190805.130506.70.ctr',8/5/19,158
4,Pot.01.190805.133600.22.ctr',8/5/19,159
4,Pot.01.190805.170548.35.ctr',8/5/19,160
4,Pot.01.190805.171558.85.ctr',8/5/19,161
4,Pot.01.190805.173633.79.ctr',8/5/19,162
4,Pot.01.190805.180551.15.ctr',8/5/19,163
4,Pot.01.190806.050623.25.ctr',8/6/19,164
4,Pot.01.190806.055509.87.ctr',8/6/19,165
4,Pot.01.190806.211619.91.ctr',8/6/19,166
4,Pot.01.190806.214504.73.ctr',8/6/19,167
4,Pot.01.190806.215654.28.ctr',8/6/19,168
4,Pot.01.190806.230549.47.ctr',8/6/19,169
4,Pot.01.190806.231552.74.ctr',8/6/19,170
4,Pot.01.190806.233614.93.ctr',8/6/19,171
4,Pot.01.190807.000603.34.ctr',8/7/19,172
4,Pot.01.190807.002658.53.ctr',8/7/19,173
4,Pot.01.190807.004526.79.ctr',8/7/19,174
4,Pot.01.190807.005515.93.ctr',8/7/19,175
4,Pot.01.190807.010553.45.ctr',8/7/19,176
4,Pot.01.190807.020503.16.ctr',8/7/19,177
4,Pot.01.190807.021550.41.ctr',8/7/19,178
4,Pot.01.190807.072640.54.ctr',8/7/19,179
4,Pot.01.190807.074531.33.ctr',8/7/19,180
4,Pot.01.190807.080550.21.ctr',8/7/19,181
4,Pot.01.190808.070514.02.ctr',8/8/19,182
4,Pot.01.190808.072522.09.ctr',8/8/19,183
4,Pot.01.190808.085515.17.ctr',8/8/19,184
4,Pot.01.190810.035549.64.ctr',8/10/19,185
4,Pot.01.190810.041542.76.ctr',8/10/19,186
4,Pot.01.190810.061519.53.ctr',8/10/19,187
4,Pot.01.190810.140504.41.ctr',8/10/19,188
4,Pot.01.190810.142609.04.ctr',8/10/19,189
4,Pot.01.190810.143557.59.ctr',8/10/19,190
4,Pot.01.190810.215553.65.ctr',8/10/19,191
